Name,Team,Type,ValueinCR,Age,National Side,Batting Style,Bowling,MatchPlayed,NotOuts,RunsScored,100s,50s,4s,6s,BattingS/R,CatchesTaken,StumpingsMade,Overs,Maidens,Wickets,EconomyRate,S/R
Quinton de Kock,LSG,Wicket-Keeper ,6.75,"29 Years, 2 Months, 29 Days",South Africa,Left Handed,,77,5,2256,1,16,230,83,130.93,53,14,,,,,
Deepak Hooda,LSG,All-Rounder ,5.75,"26 Years, 10 Months, 27 Days",India,Right Handed,Off break,80,14,785,0,3,41,38,129.53,32,0,54.1,0,9,8.45,36.11
Manish Pandey,LSG,Batsman ,4.6,"32 Years, 6 Months, 5 Days",India,Right Handed,Right-arm medium,154,27,3560,1,21,309,103,121.83,75,0,,,,,
Ravi Bishnoi,LSG,Bowler ,4,"21 Years, 6 Months, 10 Days",India,Right Handed,Leg break googly,23,2,8,0,0,1,0,50,4,0,87,1,24,6.96,21.75
Evin Lewis,LSG,Batsman ,2,,,,,,,,,,,,,,,,,,,
Dushmantha Chameera,LSG,Bowler ,2,"30 Years, 2 Months, 5 Days",Sri Lanka,Right Handed,Right-arm fast,,,,,,,,,,,,,,,
Krishnappa Gowtham,LSG,All-Rounder ,0.9,"33 Years, 4 Months, 26 Days",India,Right Handed,Off break,24,6,186,0,0,13,12,169.09,10,0,68,0,13,8.26,31.38
Kyle Mayers,LSG,All-Rounder ,0.5,"29 Years, 6 Months, 7 Days",West Indies,Left Handed,Right-arm medium,,,,,,,,,,,,,,,
Shahbaz Nadeem,LSG,Bowler ,0.5,"32 Years, 7 Months, 3 Days",India,Right Handed,Slow left-arm orthodox,72,8,39,0,0,2,0,44.82,16,0,235.5,2,48,7.56,29.47
Ankit Rajpoot,LSG,Bowler ,0.5,"28 Years, 3 Months, 11 Days",India,Right Handed,Right-arm fast,29,2,26,0,0,2,1,63.41,4,0,88.1,1,24,9.23,22.04
Mohsin Khan,LSG,Bowler ,0.2,"23 Years, 8 Months, 0 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,
Ayush Badoni,LSG,All-Rounder ,0.2,"22 Years, 3 Months, 13 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,
Karan Sharma,LSG,All-Rounder ,0.2,"23 Years, 4 Months, 15 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,
Mayank Yadav,LSG,Bowler ,0.2,"19 Years, 8 Months, 28 Days",India,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,
Manan Vohra,LSG,Batsman ,0.2,"28 Years, 7 Months, 28 Days",India,Right Handed,Right-arm medium,53,2,1054,0,3,102,41,130.6,13,0,,,,,
Rashid Khan,GT,Bowler ,15,"23 Years, 5 Months, 25 Days",Afghanistan,Right Handed,Leg break googly,76,11,222,0,0,17,13,137.03,20,0,302,4,93,6.33,19.48
Hardik Pandya,GT,All-Rounder ,15,"28 Years, 5 Months, 4 Days",India,Right Handed,Right-arm medium fast,92,31,1476,0,4,97,98,153.91,53,0,144.5,0,42,9.06,20.69
Lockie Ferguson,GT,Bowler ,10,"30 Years, 9 Months, 3 Days",New Zealand,Right Handed,Right-arm fast,22,6,62,0,0,5,2,151.22,3,0,79.5,1,24,8.11,19.95
Rahul Tewatia,GT,All-Rounder ,9,,,,,,,,,,,,,,,,,,,
Shubman Gill,GT,Batsman ,8,"22 Years, 6 Months, 8 Days",India,Right Handed,Off break,58,10,1417,0,10,137,36,123,23,0,,,,,
Mohammed Shami,GT,Bowler ,6.25,"31 Years, 6 Months, 12 Days",India,Right Handed,Right-arm fast,77,12,69,0,0,5,2,94.52,11,0,278.2,1,79,8.62,21.13
Yash Dayal,GT,Bowler ,3.2,"24 Years, 3 Months, 2 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,
Ravisrinivasan Sai Kishore,GT,Bowler ,3,"25 Years, 4 Months, 9 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,
David Miller,GT,Batsman ,3,"32 Years, 9 Months, 5 Days",South Africa,Left Handed,Off break,89,26,1974,1,10,137,90,136.51,53,0,,,,,
Abhinav Manohar,GT,Batsman ,2.6,"27 Years, 6 Months, -1 Days",India,Right Handed,Leg break googly,,,,,,,,,,,,,,,
Alzarri Joseph,GT,Bowler ,2.4,"25 Years, 3 Months, 25 Days",West Indies,Right Handed,Right-arm fast medium,3,2,15,0,0,2,0,115.38,1,0,8.4,1,6,10.03,8.66
Matthew Wade,GT,Wicket-Keeper ,2.4,"34 Years, 2 Months, 21 Days",Australia,Left Handed,Right-arm medium,3,0,22,0,0,0,0,66.66,,,,,,,
Jason Roy,GT,Batsman ,2,"31 Years, 7 Months, 25 Days",England,Right Handed,,13,2,329,0,2,39,9,129.02,8,0,,,,,
Wriddhiman Saha,GT,Wicket-Keeper ,1.9,"37 Years, 4 Months, 22 Days",India,Right Handed,,133,22,2110,1,8,191,69,128.73,69,20,,,,,
Jayant Yadav,GT,All-Rounder ,1.7,"32 Years, 1 Months, 21 Days",India,Right Handed,Off break,19,1,40,0,0,2,1,111.11,6,0,61,0,8,6.86,45.75
Vijay Shankar,GT,All-Rounder ,1.4,"31 Years, 1 Months, 18 Days",India,Right Handed,Right-arm medium,47,12,712,0,3,45,28,126.24,21,0,38.1,0,9,8.62,25.44
Dominic Drakes,GT,All-Rounder ,1.1,"24 Years, 1 Months, 6 Days",West Indies,Left Handed,Left-arm fast medium,,,,,,,,,,,,,,,
Varun Aaron,GT,Bowler ,0.5,"32 Years, 4 Months, 17 Days",India,Right Handed,Right-arm fast,50,8,50,0,0,2,2,69.44,3,0,160.4,2,42,8.89,22.95
Gurkeerat Singh Mann,GT,All-Rounder ,0.5,"31 Years, 8 Months, 16 Days",India,Right Handed,Off break,41,8,511,0,2,55,11,121.09,19,1,13,0,5,7.46,15.6
Noor Ahmad,GT,Bowler ,0.3,"17 Years, 2 Months, 12 Days",Afghanistan,Right Handed,Slow left-arm chinaman,,,,,,,,,,,,,,,
Darshan Nalkande,GT,All-Rounder ,0.2,"23 Years, 5 Months, 11 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,
Sai Sudharsan,GT,All-Rounder ,0.2,"20 Years, 5 Months, 0 Days",India,Left Handed,Leg break,,,,,,,,,,,,,,,
Pradeep Sangwan,GT,All-Rounder ,0.2,"31 Years, 4 Months, 10 Days",India,Right Handed,Left-arm medium,39,7,24,0,0,1,0,61.53,6,0,133.4,1,35,8.79,22.91
