Name,Team,Type,ValueinCR,Age,National Side,Batting Style,Bowling,MatchPlayed,NotOuts,RunsScored,100s,50s,4s,6s,BattingS/R,CatchesTaken,StumpingsMade,Overs,Maidens,Wickets,EconomyRate,S/R
Aneeshwar Gautam,RCB,All-Rounder ,0.2,"19 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,
Akash Deep,RCB,Bowler ,0.2,"25 Years, 3 Months, 0 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,
Luvnith Sisodia,RCB,Wicket-Keeper ,0.2,"22 Years, 2 Months, 1 Days",India,Left Handed,Left-arm medium,,,,,,,,,,,,,,,
Rohit Sharma,MI,Batsman ,16,"34 Years, 10 Months, 16 Days",India,Right Handed,Off break,213,28,5611,1,40,491,227,130.39,90,0,56.3,0,15,8.01,22.6
Ishan Kishan,MI,Wicket-Keeper ,15.25,"23 Years, 7 Months, 28 Days",India,Left Handed,Left-arm medium,61,5,1452,0,9,121,74,136.33,19,2,,,,,
Jasprit Bumrah,MI,Bowler ,12,"28 Years, 3 Months, 9 Days",India,Right Handed,Right-arm fast,106,15,56,0,0,4,1,96.55,13,0,403.4,5,130,7.42,18.63
Tim David,MI,All-Rounder ,8.25,"26 Years, 0 Months, -1 Days",Singapore,Right Handed,Off break,1,0,1,0,0,0,0,33.33,,,,,,,
Jofra Archer,MI,All-Rounder ,8,"26 Years, 11 Months, 15 Days",England,Right Handed,Right-arm fast,35,10,195,0,0,11,14,157.25,9,0,137.3,2,46,7.13,17.93
Suryakumar Yadav,MI,Batsman ,8,"31 Years, 6 Months, 1 Days",India,Right Handed,Right-arm medium,115,19,2341,0,13,261,68,135.71,55,0,1,0,0,8,
Kieron Pollard,MI,All-Rounder ,6,"34 Years, 10 Months, 4 Days",West Indies,Right Handed,Right-arm medium,178,51,3268,0,16,212,214,149.77,96,0,234,0,65,8.78,21.6
Dewald Brevis,MI,Batsman ,3,"18 Years, 10 Months, 17 Days",South Africa,Right Handed,Leg break,,,,,,,,,,,,,,,
Daniel Sams,MI,All-Rounder ,2.6,"29 Years, 4 Months, 19 Days",Australia,Right Handed,Left-arm fast medium,5,1,6,0,0,0,0,75,3,0,18,0,1,8.5,108
Tilak Varma,MI,All-Rounder ,1.7,"19 Years, 4 Months, 7 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,
Murugan Ashwin,MI,Bowler ,1.6,"31 Years, 6 Months, 7 Days",India,Right Handed,Leg break googly,34,2,23,0,0,1,0,63.88,7,0,112,0,26,7.86,25.84
Tymal Mills,MI,Bowler ,1.5,"29 Years, 7 Months, 3 Days",England,Right Handed,Left-arm fast,5,0,8,0,0,0,1,72.72,1,0,17.5,0,5,8.57,21.4
Jaydev Unadkat,MI,Bowler ,1.3,"30 Years, 4 Months, 29 Days",India,Right Handed,Left-arm medium,86,12,105,0,0,9,3,109.37,24,0,296,3,85,8.74,20.89
Riley Meredith,MI,Bowler ,1,"25 Years, 8 Months, 24 Days",Australia,Right Handed,Right-arm fast,5,1,0,0,0,0,0,0,,,17,0,4,9.94,25.5
Fabian Allen,MI,All-Rounder ,0.75,"26 Years, 10 Months, 9 Days",West Indies,Right Handed,Slow left-arm orthodox,4,2,6,0,0,0,0,50,2,0,11,1,1,8.18,66
